id,type,href,ike_dist,price,land_area,house_area,BCR,FAR,nearest_station,station_dist,age,can_not_be_rebuilt,affordable
b-17020970014979,土地,https://www.homes.co.jp/tochi/b-17020970014979/,36,2510.0,54.17,,60,160.0,ひばりヶ丘,13,,False,1
b-89280010451,中古一戸建て,https://www.homes.co.jp/kodate/b-89280010451/,37,2580.0,69.41,160.59,,,清瀬,7,47.0,False,1
b-1206700007360,土地,https://www.homes.co.jp/tochi/b-1206700007360/,27,2580.0,108.1,,60,200.0,北戸田,1,,False,1
b-17002960000459,土地,https://www.homes.co.jp/tochi/b-17002960000459/,39,2680.0,73.13,,60,160.0,清瀬,9,,False,1
b-1113000008645,中古一戸建て,https://www.homes.co.jp/kodate/b-1113000008645/,39,2680.0,69.61,80.16,,,南与野,6,28.0,False,1
b-1389720001300,土地,https://www.homes.co.jp/tochi/b-1389720001300/,33,2680.0,68.31,,40,80.0,保谷,10,,False,1
b-1227780001769,中古一戸建て,https://www.homes.co.jp/kodate/b-1227780001769/,38,2700.0,77.66,76.7,,,柳瀬川,7,35.0,False,1
b-17022090000040,土地,https://www.homes.co.jp/tochi/b-17022090000040/,39,2740.0,100.02,,60,200.0,朝霞台,13,,False,1
b-17007910000314,土地,https://www.homes.co.jp/tochi/b-17007910000314/,36,2780.0,72.27,,60,200.0,東武練馬,14,,False,1
b-17002960000458,土地,https://www.homes.co.jp/tochi/b-17002960000458/,38,2780.0,71.58,,60,200.0,朝霞,15,,False,1
b-1000980063142,中古一戸建て,https://www.homes.co.jp/kodate/b-1000980063142/,40,2780.0,108.09,90.48,,,東久留米,12,24.0,False,1
b-1445390000428,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000428/,17,2780.0,39.37,43.48,,,鬼子母神前,6,53.0,False,1
b-1439660000102,中古一戸建て,https://www.homes.co.jp/kodate/b-1439660000102/,25,2800.0,29.78,58.28,,,上板橋,5,36.0,False,1
b-1423180000083,土地,https://www.homes.co.jp/tochi/b-1423180000083/,30,2880.0,59.65,,60,200.0,成増,12,,False,1
b-1389720001184,土地,https://www.homes.co.jp/tochi/b-1389720001184/,35,2880.0,79.93,,40,80.0,ひばりヶ丘,12,,False,1
b-1445390000471,中古一戸建て,https://www.homes.co.jp/kodate/b-1445390000471/,15,2890.0,59.5,68.07,,,椎名町,6,57.0,True,1
b-17020970014638,土地,https://www.homes.co.jp/tochi/b-17020970014638/,32,2920.0,60.3,,60,200.0,戸田公園,10,,False,1
b-1010870033404,中古一戸建て,https://www.homes.co.jp/kodate/b-1010870033404/,35,2980.0,100.04,110.29,,,ひばりヶ丘,12,28.0,False,1
b-1416580000025,中古一戸建て,https://www.homes.co.jp/kodate/b-1416580000025/,14,2980.0,47.8,43.79,,,大塚,5,92.0,True,1
b-1448700000144,土地,https://www.homes.co.jp/tochi/b-1448700000144/,30,2980.0,71.15,,40,80.0,保谷,7,,False,1
b-1373820000456,土地,https://www.homes.co.jp/tochi/b-1373820000456/,14,2980.0,32.53,,70,160.0,新大塚,5,,False,1
b-17020970014850,土地,https://www.homes.co.jp/tochi/b-17020970014850/,32,2990.0,44.74,,60,70.0,戸田公園,10,,False,1
b-35005460000524,中古一戸建て,https://www.homes.co.jp/kodate/b-35005460000524/,18,2990.0,46.83,48.7,,,千川,9,43.0,False,1
b-1260000000215,中古一戸建て,https://www.homes.co.jp/kodate/b-1260000000215/,19,3000.0,35.88,47.6,,,新板橋,6,57.0,False,1
b-1029300000956,中古一戸建て,https://www.homes.co.jp/kodate/b-1029300000956/,27,3000.0,140.92,98.31,,,地下鉄赤塚,9,60.0,True,1
b-1260000000214,土地,https://www.homes.co.jp/tochi/b-1260000000214/,19,3000.0,35.88,,80,240.0,新板橋,6,,False,1
b-17020970014451,土地,https://www.homes.co.jp/tochi/b-17020970014451/,39,3060.0,72.25,,60,160.0,北朝霞,12,,False,1
b-1278120007416,中古一戸建て,https://www.homes.co.jp/kodate/b-1278120007416/,30,3080.0,51.73,66.51,,,練馬高野台,8,55.0,False,1
b-17017120000328,新築一戸建て,https://www.homes.co.jp/kodate/b-17017120000328/,38,3150.0,55.34,96.93,60,200.0,ひばりヶ丘,15,,False,1
b-1040320010228,新築一戸建て,https://www.homes.co.jp/kodate/b-1040320010228/,34,3180.0,64.68,51.72,,,東久留米,6,,False,1
b-1395360000102,中古一戸建て,https://www.homes.co.jp/kodate/b-1395360000102/,22,3180.0,56.85,62.93,,,北赤羽,5,22.0,False,1
b-88120000585,土地,https://www.homes.co.jp/tochi/b-88120000585/,37,3180.0,90.09,,60,180.0,下赤塚,15,,False,1
b-1445700000115,土地,https://www.homes.co.jp/tochi/b-1445700000115/,21,3180.0,40.04,,80,300.0,北赤羽,4,,False,1
b-1193340007916,土地,https://www.homes.co.jp/tochi/b-1193340007916/,19,3190.0,31.14,,80,300.0,駒込,9,,False,1
b-1445460000102,土地,https://www.homes.co.jp/tochi/b-1445460000102/,29,3200.0,43.03,,50,100.0,地下鉄赤塚,11,,False,1
b-1425230001222,土地,https://www.homes.co.jp/tochi/b-1425230001222/,29,3200.0,30.11,,80,500.0,仲御徒町,4,,False,1
b-37091310000169,中古一戸建て,https://www.homes.co.jp/kodate/b-37091310000169/,33,3230.0,66.0,86.93,,,北戸田,7,26.0,False,1
b-17069060005780,土地,https://www.homes.co.jp/tochi/b-17069060005780/,33,3240.0,61.07,,60,168.0,朝霞,10,,False,1
b-17074110000070,土地,https://www.homes.co.jp/tochi/b-17074110000070/,33,3240.0,61.07,,60,200.0,朝霞,10,,False,1
b-1191550004742,土地,https://www.homes.co.jp/tochi/b-1191550004742/,27,3242.0,53.84,,60,150.0,赤羽,12,,False,1
b-1222100008331,新築一戸建て,https://www.homes.co.jp/kodate/b-1222100008331/,36,3280.0,53.79,80.1,,,朝霞台,4,,False,1
b-35005460000597,中古一戸建て,https://www.homes.co.jp/kodate/b-35005460000597/,35,3280.0,46.66,70.63,,,地下鉄成増,15,12.0,False,1
b-1387100000092,土地,https://www.homes.co.jp/tochi/b-1387100000092/,33,3280.0,30.79,,80,360.0,秋葉原,5,,False,1
b-17077270000040,土地,https://www.homes.co.jp/tochi/b-17077270000040/,34,3390.0,71.97,,50,100.0,ひばりヶ丘,11,,False,1
b-1243260007945,土地,https://www.homes.co.jp/tochi/b-1243260007945/,23,3390.0,41.98,,60,150.0,上中里,7,,False,1
b-1278120006676,中古一戸建て,https://www.homes.co.jp/kodate/b-1278120006676/,26,3400.0,69.85,94.23,,,平和台,11,40.0,False,1
b-1444120000176,中古一戸建て,https://www.homes.co.jp/kodate/b-1444120000176/,39,3470.0,60.04,85.27,,,中浦和,8,6.0,False,1
b-17007910000321,新築一戸建て,https://www.homes.co.jp/kodate/b-17007910000321/,37,3480.0,40.21,64.02,70,160.0,東武練馬,15,,False,1
b-17007910000312,土地,https://www.homes.co.jp/tochi/b-17007910000312/,32,3480.0,85.0,,60,160.0,上板橋,12,,False,1
b-1421770003720,新築一戸建て,https://www.homes.co.jp/kodate/b-1421770003720/,37,3480.0,40.21,64.02,,,東武練馬,15,,False,1
b-1242120001094,新築一戸建て,https://www.homes.co.jp/kodate/b-1242120001094/,39,3480.0,58.07,91.85,,,みずほ台,6,,False,1
b-1000980064203,土地,https://www.homes.co.jp/tochi/b-1000980064203/,38,3480.0,110.02,,40,80.0,保谷,15,,False,1
b-1389130002347,土地,https://www.homes.co.jp/tochi/b-1389130002347/,38,3480.0,103.08,,60,100.0,朝霞,15,,False,1
b-1392850000605,中古一戸建て,https://www.homes.co.jp/kodate/b-1392850000605/,36,3500.0,59.98,103.08,,,東武練馬,14,21.0,False,1
b-1427200000068,中古一戸建て,https://www.homes.co.jp/kodate/b-1427200000068/,7,3500.0,31.4,45.9,,,池袋,7,47.0,False,1
b-1427200000067,土地,https://www.homes.co.jp/tochi/b-1427200000067/,7,3500.0,31.4,,80,400.0,池袋,7,,False,1
b-1198450008382,中古一戸建て,https://www.homes.co.jp/kodate/b-1198450008382/,38,3550.0,85.09,92.53,,,吉祥寺,5,24.0,False,1
b-1336600001900,中古一戸建て,https://www.homes.co.jp/kodate/b-1336600001900/,28,3580.0,48.21,87.35,,,地下鉄成増,8,21.0,False,1
b-1243260007912,土地,https://www.homes.co.jp/tochi/b-1243260007912/,28,3580.0,90.96,,50,100.0,地下鉄赤塚,10,,False,1
